candidate_id,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,"Potwierdzam, że zapoznałem(-am) się z powyższymi informacjami i przyjmuję je do wiadomości.","Czy wyrażasz zgodę na przetwarzanie danych osobowych w zakresie adresu mailowego w celu realizacji projektu badawczego pt. ""XPM: eXplainable Predictive Maintenance"" i archiwizacji, zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. (ogólne  rozporządzenie o ochronie danych) oraz zgodnie z klauzulą informacyjną dołączoną do Twojej zgody?",Czy wyrażasz zgodę na udział w badaniu (ankietowym)?,Jak oceniasz swoją wiedzę na temat dziko rosnących grzybów jadalnych i trujących?,Po czym głównie poznaje się dziko rosnące grzyby jadalne?,Po czym głównie poznaje się dziko rosnące grzyby trujące lub niejadalne?,Skąd pochodzi Twoja wiedza o grzybach dziko rosnących? ,Czy zdarza Ci się zbierać grzyby dziko rosnące?,"Nie mam oporów, by:","Jakie są Twoje umiejętności w zakresie wizualizacji danych, np. tworzenia wykresów, infografik itd.? (Zaznacz maksymalnie dwie odpowiedzi).",Jak oceniasz swoje umiejętności w zakresie analizy danych?,Skąd masz umiejętności w zakresie wizualizacji danych?,Jakie cechy powinna mieć Twoim zdaniem dobrze zrobiona wizualizacja danych?,"Czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako trującego? Odpowiedz i podaj te cechy.","Czy patrząc na poniższą wizualizację, jesteś w stanie stwierdzić, jakie zmiany w cechach, według analizy kontrfaktycznej, mają największy wpływ na zmianę klasyfikacji grzyba z trującego na jadalny lub odwrotnie? Odpowiedz, opisując te zmiany.","Podaj nazwę kierunku(-ów) studiów, na którym(-ych) studiujesz:","Czy wyrażasz zgodę na udział w testowaniu technik XAI? Później możesz się wycofać, jeśli zmienisz zdanie. Badania przeprowadzane będą od 19 grudnia 2023 r. do 25 lutego 2024 r. na WZiKS UJ, w Instytucie Studiów Informacyjnych UJ. Jeśli wyrazisz wstępną zgodę, poprosimy Cię o podanie kontaktowego adresu mailowego, na który prześlemy formularz z możliwością zapisu na konkretny termin badania i godzinę. Dla uczestników badań jakościowych przewidziane są upominki",participant_id,comment
30,1.12.24 19:47:55,1.12.24 20:49:13,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,Po występowaniu rurek pod kapeluszem.,Po występowaniu blaszek.,"Od mamy, z atlasów podręcznych, internetu.","Tak, rzadko.","Zjeść grzyby, które sam/sama zebrałam/em.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,"Szkoła, filmik na yt;","czytelna, dużo elementów graficznych, przejrzysta, dobre opisy danych","Z wykresu wnioskuję, że najsilniejszy wpływ na to, czy grzyb jest trujacy ma wysokość trzonu. W drugiej kolejności jest średnica kapelusza, a w trzeciej szerokość trzonu. ","Prawdopodobnie sposób przyrastania blaszek do trzonu, podstawa trzonu, typ hymenoforu. Z braku danych (? -NA) pojawiły się dane przedstawiające odpowiednio: przyrośnięte blaszki, trzon bulwiasty, hymenofor bez zasnówki. ",Psychologia,Tak.,DR_SSH_01,
44,1.24.24 9:59:29,1.24.24 10:10:18,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Nie mają falbanki na nóżce i blaszek. Mają stonowane kolory. ,"Mają żywe, jaskrawe kolory, zdarza się również falbanka na nóżce. ",Z przyrody w podstawówce. ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;Praca;,"Przejrzystość, prostota, dobra organizacja elementów. ","Wysokość trzonu, średnica kapelusza, średnica trzonu","Nie, wizualizacja sprawia wrażenie źle zorganizowanej, bardzo roboczej. ",Zarządzanie informacją,Tak.,DR_SSH_02,
16,1.12.24 10:42:43,1.12.24 10:58:42,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,nie wiem ,"poza tym, że wiem jak wygląda kilka charakterystycznych grzybów (np. muchomor, huba), nie znam odpowiedzi na to pytanie","taka bardzo podstawowa prawdopodobnie ze szkoły podstawowej, trochę z internetu ","Nie, nigdy.",Nie chcę udzielać odpowiedzi.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;szkoła;,"przejrzysta, czytelna, jednoznaczna, estetyczna","wysokość-trzonu-cm, szerokość-trzonu-mm","sposób przyrastania blaszek do trzonu, szerokość trzonu, podstawa trzonu, powierzchnia trzonu, typ hymenoforu ",zarządzanie informacją,Tak.,DR_SSH_03,
64,1.26.24 21:07:50,1.26.24 21:33:56,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"nie ma wspólnej cechy dla grzybów jadalnych ale wszystkie grzyby z ""gąbką"" pod kapeluszem czyli z rurkami nie są jadalne",wszystkie grzyby trujące mają pod kapeluszem blaszki ale nie wszystkie grzyby z blaszkami są trujące,"od babci, współlokatora, poprzednich studiów i internetu","Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Nie umiem ocenić.,Nie chcę udzielać odpowiedzi.;,być przejrzysta i mieć dobre ułożenie danych,"ciężko mi stwierdzić ale z wykresu wnioskuje że duże znaczenie na to czy grzyb jest trujący mają wysokość trzonu, średnica kapelusza i szerokość trzonu",nie jestem w stanie odpowiedzieć,zarządzanie informacją,Tak.,DR_SSH_04,
29,1.12.24 17:31:03,1.12.24 17:44:12,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Kolorze, kapeluszu, blaszkach i zmianie wyglądu po uszkodzeniu ","Kolorze, kapeluszu, blaszkach, zmianie wyglądu po uszkodzeniu ",Od rodziny i z lekcji biologii ,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Czytelna, przejrzysta, dokładna,ale nie skomplikowana",Wysokość trzonu w cm,"Sposób przyrastania blaszek, podstawa trzonu, typ hymenoforu ",EPI,Tak.,DR_IT_05,
82,1.30.24 20:59:38,1.30.24 21:19:03,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"Zależy od gatunku gdyż mają inne cechy charakterystyczne. Głównie kształt i kolor kapelusza oraz nóżki, rodzaj hymenoforu, zapach, otoczenie w którym rośnie, smak po polizaniu przekrojonego grzyba lub zmiana koloru która wtedy następuje","Tak samo jak wyżej. Głównie kształt i kolor kapelusza oraz nóżki, rodzaj hymenoforu, zapach, otoczenie w którym rośnie, smak po polizaniu przekrojonego grzyba lub zmiana koloru która wtedy następuje","Przekazywana od rodziny, z atlasów grzybowych, z internetu (facebookowe grupy grzybiarskie)","Tak, często.","Zjeść grzyby, które sam/sama zebrałam/em.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;Praca;,"Klarowność, czytelność, może walory estetyczne?","Wysokość trzonu, szerokość trzonu, średnica kapelusza? Nie jestem pewien co znaczy ""które najczęściej pojawiają się po jego prawej stronie"" i nie wiem jak reprezentowany jest grzyb trujący (ujemnie czy dodatnio)","Znowu brakuje mi trochę jakiejś legendy, nie wiem jak czytać tą wizualizację",Kognitywistyka,Tak.,DR_SSH_06,
84,1.30.24 21:13:14,1.30.24 21:34:50,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"Większość z nich nie ma blaszek, nie ma kropek ani ciapek, nie mają trójkątnych podłużnych kapeluszy i bardzo cienkich nóżek (no chyba że kanie), są zwykle pulchniutkie","Mają blaszki, kropki ciapki, trójkątne podłużne kapelusze, cienkie nóżki, niektore mają intensywny nieprzyjemny zapach","Od mamy, taty i babci","Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Nie potrafię tworzyć wizualizacji.;,Nisko.,Nie mam takich umiejętności.;,"Powinna być przejrzysta i intuicyjna, łatwa do odczytu i możliwie minimalistyczna ","Nie rozumiem pytania albo nie rozumiem wykresu, albo tego i tego","Sposob przyrastania blaszek do trzonu, szerokosc trzonu, podstawa i powietzchnia trzonu, typ hymenoforu",Kognitywistyka II st,Tak.,DR_SSH_07,
3,12.19.23 13:24:22,12.19.23 13:30:29,anonymous,Potwierdzam,Wyrażam zgodę.,Tak.,Nisko.,Po braku blaszki na spodzie kapelusza,Po blaszce na spodzie kapelusza,Z chodzenia na grzyby z dziadkami w dzieciństwie ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,"Źródło danych, odpowiedni opis, czytelny rozkład danych","Powiedziałbym, że największy wpływ ma wysokość trzonu, ponieważ znajduje się ona na samej górze wykresu ","Powiedziałbym że będą to te czynniki, które posiadają dodatkową wartość w kolumnie ""modified value"", ale nie jest to dla mnie w pełni zrozumiałe",Zarządzanie informacją,Tak.,MK_01_PIL,pilot study
24,1.12.24 14:38:15,1.12.24 14:51:39,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,"chyba głównie po tym, że nie mają ""blaszek"" tylko takie bardziej miękkie/gąbczaste spody",mają blaszki od spodu,"szkoła podstawowa, rodzice ","Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, którymi częstuje mnie obca osoba.;",Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;rozszerzona informatyka;,"przejrzysta, czytelna, zawiera tylko potrzebne i wystarczające informacje ",wysokość i szerokość trzonu,"sposób przyrastania blaszek z nieokreślonego na przyrośnięte, nowy pomiar szerokości trzonu, zmiana nieokreślonej podstawy trzonu na bulwiasta, zmiana powierzchni trzonu z gładkiej na błyszczącą oraz zmiana nieokreślonego typu hymenoforu na bez-zasnówki",Psychologia stosowana,Tak.,MK_SSH_02,
43,1.23.24 14:59:36,1.23.24 15:22:36,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,po braku blaszek (z wyjątkami),po blaszkach (z wyjątkami),dziewczyna mnie nauczyła,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, którymi częstuje mnie obca osoba.;Zjeść grzyby, które sam/sama zebrałam/em.;",Nie potrafię interpretować wizualizacji.;Nie potrafię tworzyć wizualizacji.;,Nie mam żadnych umiejętności w tym zakresie.,Nie mam takich umiejętności.;,być czytelna i dobrze pokazywać wnioski,"te części słupka najbardziej na czerwono, czyli zminia-kolor..., gęstość-blaszek etc.",nie,epi,Tak.,MK_IT_03,
