participant_id,slide_id,original_order,new_order,slide_name,modification,details
DR_SSH_01,__S1__,1,1,text1,0,
DR_SSH_01,__S2__,2,2,text2,0,
DR_SSH_01,__S3__,3,3,text3,0,
DR_SSH_01,,,4,custom,2,presentation of an averaged mushroom with a description of its features and where they occur on the mushroom
DR_SSH_01,__S12__,12,5,histograms and box plots,0,
DR_SSH_01,__S4__,4,6,bar charts1,0,
DR_SSH_01,__S5__,5,7,bar charts2,0,
DR_SSH_01,__S9__,9,8,LIME,0,
DR_SSH_01,__S7__,7,9,bee swarm,0,
DR_SSH_01,__S8__,8,10,waterfall,0,
DR_SSH_01,__S13__,13,11,anchor1,0,
DR_SSH_01,__S14__,14,12,anchor2,0,
DR_SSH_01,__S11__,11,13,text4,0,
DR_SSH_01,__S10__,10,,counterfactual analysis,1,
DR_SSH_01,__S6__,6,,descriptive statistics,1,
DR_SSH_02,,,1,custom,2,
DR_SSH_02,__S1__,1,2,text1,0,
DR_SSH_02,__S2__,2,3,text2,0,
DR_SSH_02,__S3__,3,4,text3,0,
DR_SSH_02,,,5,custom,2,
DR_SSH_02,,,6,custom,2,
DR_SSH_02,,,7,custom,2,
DR_SSH_02,,,8,custom,2,
DR_SSH_02,,,9,custom,2,
DR_SSH_02,__S9__,9,10,LIME,0,
DR_SSH_02,__S8__,8,11,waterfall,0,
DR_SSH_02,__S10__,10,12,counterfactual analysis,0,
DR_SSH_02,__S11__,11,13,text4,0,
DR_SSH_02,__S12__,12,14,histograms and box plots,0,
DR_SSH_02,__S13__,13,15,anchor1,0,
DR_SSH_02,__S14__,14,16,anchor2,0,
DR_SSH_02,,,17,custom,2,
DR_SSH_02,__S4__,4,,bar charts1,1,
DR_SSH_02,__S5__,5,,bar charts2,1,
DR_SSH_02,__S7__,7,,bee swarm,1,
DR_SSH_02,__S6__,6,,descriptive statistics,1,
DR_SSH_03,__S1__,1,1,text1,0,
DR_SSH_03,__S2__,2,2,text2,0,
DR_SSH_03,__S3__,3,3,text3,0,
DR_SSH_03,__S11__,11,4,text4,0,
DR_SSH_03,__S6__,6,5,descriptive statistics,0,
DR_SSH_03,__S4__,4,6,bar charts1,0,
DR_SSH_03,__S5__,5,7,bar charts2,0,
DR_SSH_03,__S7__,7,8,bee swarm,0,
DR_SSH_03,__S8__,8,9,waterfall,0,
DR_SSH_03,__S9__,9,10,LIME,0,
