category,filename,extension,size_kb
top_level_csv,CODEBOOK.csv,.csv,12.8
top_level_csv,MAXQDA_SUMMARY.csv,.csv,170.07
top_level_csv,PROBLEMS.csv,.csv,1.11
top_level_csv,PROBLEMS_RESPONSES.csv,.csv,5.7
top_level_csv,PROBLEMS_en.csv,.csv,0.74
top_level_csv,QUESTIONS.csv,.csv,6.41
top_level_csv,SLIDES.csv,.csv,1.75
top_level_csv,SURVEY.csv,.csv,125.58
top_level_csv,SURVEY_en.csv,.csv,122.9
top_level_csv,VISUALIZATION_MODIFICATIONS.csv,.csv,13.81
top_level_pdf,ORIGINAL_VISUALIZATIONS.pdf,.pdf,1234.08
top_level_pdf,ORIGINAL_VISUALIZATIONS_EN.pdf,.pdf,1297.72
transcript,DR_IT_05.csv,.csv,55.4
transcript,DR_SSH_01.csv,.csv,36.8
transcript,DR_SSH_02.csv,.csv,63.14
transcript,DR_SSH_03.csv,.csv,47.55
transcript,DR_SSH_04.csv,.csv,43.21
transcript,DR_SSH_06.csv,.csv,54.93
transcript,DR_SSH_07.csv,.csv,56.84
transcript,MK_IT_03.csv,.csv,60.77
transcript,MK_IT_06.csv,.csv,40.52
transcript,MK_SSH_02.csv,.csv,57.85
transcript,MK_SSH_04.csv,.csv,47.71
transcript,MK_SSH_05.csv,.csv,34.25
transcript,MK_SSH_07.csv,.csv,48.36
transcript,MW_IT_02.csv,.csv,37.32
transcript,MW_IT_06.csv,.csv,53.78
transcript,MW_IT_07.csv,.csv,22.37
transcript,MW_SSH_01.csv,.csv,50.97
transcript,MW_SSH_03.csv,.csv,36.12
transcript,MW_SSH_04.csv,.csv,48.55
transcript,MW_SSH_05.csv,.csv,54.8
transcript,MZ_IT_05.csv,.csv,44.74
transcript,MZ_IT_06.csv,.csv,115.52
transcript,MZ_SSH_02.csv,.csv,63.03
transcript,MZ_SSH_03.csv,.csv,97.16
transcript,MZ_SSH_04.csv,.csv,45.93
transcript,MZ_SSH_07.csv,.csv,54.04
transcript,PK_DE_01.csv,.csv,53.35
transcript,PK_DE_02.csv,.csv,54.91
transcript,PK_DE_03.csv,.csv,28.03
transcript,PK_DE_04.csv,.csv,45.34
transcript,PK_DE_05.csv,.csv,63.22
transcript,PK_DE_06.csv,.csv,26.56
transcript,PK_DE_07.csv,.csv,39.08
transcript,PK_DE_08.csv,.csv,32.83
transcript,PK_DE_09.csv,.csv,33.05
transcript,PK_DE_10.csv,.csv,24.09
transcript,PK_DE_11-12.csv,.csv,23.49
transcript,PK_DE_13.csv,.csv,59.92
visualization_modification,DR_IT_05.pdf,.pdf,1333.82
visualization_modification,DR_SSH_01.pdf,.pdf,1331.36
visualization_modification,DR_SSH_02.pdf,.pdf,1271.61
visualization_modification,DR_SSH_03.pdf,.pdf,1234.18
visualization_modification,DR_SSH_06.pdf,.pdf,1234.19
visualization_modification,DR_SSH_07.pdf,.pdf,1234.2
visualization_modification,MK_IT_02.pdf,.pdf,1234.18
visualization_modification,MK_IT_03.pdf,.pdf,1234.9
visualization_modification,MK_IT_06.pdf,.pdf,1234.2
visualization_modification,MK_IT_07.pdf,.pdf,1236.0
visualization_modification,MK_SSH_04.pdf,.pdf,1234.19
visualization_modification,MK_SSH_05.pdf,.pdf,1329.94
visualization_modification,MW_IT_02.pdf,.pdf,1350.93
visualization_modification,MW_IT_06.pdf,.pdf,1330.38
visualization_modification,MW_IT_07.pdf,.pdf,1234.18
visualization_modification,MW_SSH_01.pdf,.pdf,1196.69
visualization_modification,MW_SSH_03.pdf,.pdf,1234.19
visualization_modification,MW_SSH_04.pdf,.pdf,1234.18
visualization_modification,MW_SSH_05.pdf,.pdf,1234.2
visualization_modification,MZ_IT_05.pdf,.pdf,1234.19
visualization_modification,MZ_IT_06.pdf,.pdf,1234.19
visualization_modification,MZ_SSH_02.pdf,.pdf,1234.79
visualization_modification,MZ_SSH_03.pdf,.pdf,1234.2
visualization_modification,MZ_SSH_04.pdf,.pdf,1267.82
visualization_modification,MZ_SSH_07.pdf,.pdf,1234.18
