participant_id,adjacent_code_hits
PK_DE_05,53
MZ_SSH_03,51
DR_SSH_02,49
MW_SSH_05,39
MZ_IT_06,39
PK_DE_02,37
PK_DE_13,35
MZ_SSH_02,33
DR_SSH_04,33
MK_SSH_04,30
PK_DE_07,30
PK_DE_04,29
DR_SSH_03,28
DR_SSH_01,26
MZ_SSH_07,25
MZ_SSH_04,25
MZ_IT_05,25
PK_DE_08,22
MW_IT_06,22
PK_DE_12,22
PK_DE_01,21
PK_DE_11,20
PK_DE_10,15
MW_IT_07,15
PK_DE_03,14
PK_DE_09,14
MK_SSH_05,10
MK_IT_06,9
PK_DE_06,9
MW_IT_02,8
MK_IT_03,7
MW_SSH_03,5
MK_SSH_07,4
MK_SSH_02,4
DR_SSH_07,2
DR_IT_05,1
MW_SSH_04,1
MW_SSH_01,1
DR_SSH_06,0
