__utt_id,new_recheck,orig_coder1,notes
MZ_SSH_03:543,yes,yes,
PK_DE_04:162,no,yes,
MK_IT_06:130,yes,no,
PK_DE_05:105,yes,yes,
MK_IT_03:213,yes,yes,
MZ_IT_05:360,yes,no,
MZ_IT_05:213,yes,no,
DR_IT_05:182,no,no,
MK_IT_06:95,yes,no,
PK_DE_01:121,yes,yes,
PK_DE_04:132,yes,no,
DR_SSH_06:270,yes,yes,
PK_DE_04:189,yes,yes,
PK_DE_02:168,yes,yes,
DR_SSH_07:334,yes,yes,
DR_SSH_07:459,yes,no,
DR_SSH_01:278,yes,yes,
PK_DE_01:230,yes,no,
MK_SSH_02:117,yes,yes,
PK_DE_08:72,yes,yes,
MZ_SSH_02:273,yes,no,
DR_IT_05:242,no,no,
PK_DE_13:123,yes,yes,
DR_SSH_01:232,no,no,
MK_IT_06:24,yes,yes,
DR_SSH_02:283,yes,yes,
MZ_SSH_03:635,no,no,
MW_SSH_05:122,yes,no,
MK_IT_03:174,no,no,
MK_IT_06:122,no,no,
MW_SSH_05:85,yes,yes,
MW_IT_06:150,no,no,
PK_DE_09:53,yes,no,
MZ_SSH_04:169,yes,no,
MW_IT_02:55,no,yes,
PK_DE_03:64,yes,yes,
